ARTIST NAME / HANDLE,TWITTER,PLATFORM,CONTACT ADDRESS (same throughout),TOKEN ID
Jazmine / @BLACKKSNEAKERS,https://twitter.com/BLACKKSNEAKERS,SuperRare,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,20150
,,,,20149
peenpoon,https://twitter.com/peenpoontweets,,,18929
James Owen / @_james_owen_,https://twitter.com/_james_owen_,,,
Jazmine / @BLACKKSNEAKERS,https://twitter.com/BLACKKSNEAKERS,,,
Bobbi Thee Bad Guy @bawbicai,https://twitter.com/bawbicai,,,
Carlos Marcial / @carlosmarcialt,https://twitter.com/carlosmarcialt,,,
Dev Moore (Felt Zine),@devmoore,,,
Dimithry Victor,https://twitter.com/dimithryv,,,
Mark Digital HD (Felt Zine),@markdigitalhd,,,
Sean Williams / @iartsometimes,https://twitter.com/iartsometimes,,,
Faith-Love W. / @Izzyalright,https://twitter.com/Izzyalright,,,
Luz/ @sikotic4,https://twitter.com/sikotic4,,,
Samer Dabra / @Spongenuity,https://twitter.com/Spongenuity,,,
Thato / @can_of_hands,https://twitter.com/can_of_hands,,,
Yosnier,https://twitter.com/Yosnier_,,,
