ARTIST NAME / HANDLE,TWITTER,PLATFORM,CONTACT ADDRESS (same throughout),TOKEN ID
peenpoon,https://twitter.com/peenpoontweets,Foundation,0x3B3ee1931Dc30C1957379FAc9aba94D1C48a5405,63
Dillon / ATM / @dillonatm,@dillonatm,,,303
[SIRSU] Ameer Suhayb Carter / @sirsuhayb ,,,,209
Luke Beckford @ALLTHESEFLOWSXX,,,,295
,,,,648
FeltZine,,,,980
,,,,982
,,,,983
Bria Thomas / @briamakesit,,,,
Lane Stewart / @lanestewart,,,,618
Michael Felder / @misterfelder,,,,586
Damon Davis,,,,378
,,,,1237
Jah.,,,,372
Joseph Agyemang,,,,1337
Sean Williams / @iartsometimes,,,,340
,,,,344
,,,,415
,,,,582
,,,,1311
