ARTIST NAME / HANDLE,TWITTER,PLATFORM,CONTACT ADDRESS (same throughout),TOKEN ID
[SIRSU] Ameer Suhayb Carter / @sirsuhayb ,@sirsuhayb,Rarible,0x60f80121c31a0d46b5279700f9df786054aa5ee5,33990
,,,,33971
,,,,36254
,,,,34110
,,,,85990
,,,,33137
,,,,33129
,,,,33121
Dillon / ATM / @dillonatm,@dillonatm,,,89498
,,,,90721
,,,,90864
,,,,137897
Leighton McDonald / @late_fx,@late_fx,,,93241
,,,,33441
,,,,16691
Bria Thomas / @briamakesit,https://twitter.com/thenamesbria_,,,58553
,,,,37796
,,,,40852
,,,,37783
Jahmel Reynolds / Jah / @artbyjah,https://twitter.com/artbyjah,,,98568
,,,,173207
,,,,96028
,,,,92694
,,,,90314
,,,,89115
Lyonna Lyu / @LyonnaLyu,https://twitter.com/lyonnalyu,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Darren Dempster / @Loizano,Twitter.com/that__boricua,,,
Shinji Akhirah @shinji_akhirah,https://twitter.com/shinji_akhirah,,,
Will Nichols ,@nevermindwill,,,
Faith-Love W. / @Izzyalright,https://twitter.com/Izzyalright,,,
Aaleah Lancaster / @artbyaili - lan.aili.art@gmail.com,https://twitter.com/artbyaili,,,
Dominique Twyman / @artbydomo,https://twitter.com/_bydomo,,,
Enrico Moses / @ArtByEnricoMoses,https://twitter.com/enricomoses,,,
,,,,
,,,,
Ciara Bourne / @ciaradesign_,https://twitter.com/ciaradesign_,,,
Emmanuel Okoye / @extrastu1,https://Twitter.com/extrastu1,,,
Sean Williams / @iartsometimes,https://twitter.com/iartsometimes,,,
Mark Wilson @Surfdontfall,https://twitter.com/surfdontfall,,,
Kai @akaimorton,Https://twitter.com/akaimorton,,,
Lyonna Lyu / @LyonnaLyu,https://twitter.com/lyonnalyu,,,
Maxwell Step / @maxwell_step,https://twitter.com/maxwell_step,,,
Michael Felder / @misterfelder,https://twitter.com/misterfelder,,,
Rachel Smithers @racheldenisexx @racheldenisexo,https://twitter.com/racheldenisexx,,,
Ruben Alexander,https://twitter.com/RubenAlexand3r,,,
Sempy / @SempyArts,https://twitter.com/SempyArts,,,
Faniqua Silver,https://twitter.com/BredSilver,,,
Thato / @can_of_hands,https://twitter.com/can_of_hands,,,
Ben Harriott / @UrBen,https://twitter.com/urben,,,
"Otha ""Vakseen"" Davis III  -  @Vakseen",https://twitter.com/vakseen,,,
Voke / @VeeArt7,https://twitter.com/VeeArt7,,,
ZON / @ZexonONerotaki,https://twitter.com/ZexonONerotaki,,,
