ARTIST NAME / HANDLE,TWITTER,PLATFORM,CONTACT ADDRESS (same throughout),TOKEN ID
[SIRSU] Ameer Suhayb Carter / @sirsuhayb ,@sirsuhayb,Zora,0xabEFBc9fD2F806065b4f3C237d4b59D9A97Bcac7,178
,,,,188
,,,,189
,,,,228
,,,,229
,,,,369
Cedrick Gustave,https://twitter.com/cedrickgustave,,,473
Leighton McDonald / @late_fx,,,,213
,,,,328
,,,,405
,,,,408
,,,,931
Niall Ashley / @niallashley_,https://twitter.com/niallashley_,,,524
,,,,564
,,,,683
,,,,917
Zack Fox / @zackfox,https://twitter.com/zackfox,,,494
,,,,638
Bria Thomas / @briamakesit,https://twitter.com/thenamesbria_,,,456
Maddi Mays / @maddimays,,,,526
Cynthia Bahati,,,,105
,,,,1061
,,,,
,,,,
,,,,
,,,,
Darren Dempster / @Loizano,Twitter.com/that__boricua,,,
,,,,
,,,,
Latasha,,,,
